BBC Cosmic Comedy Collection: The Hitchhiker's Guide To The Galaxy (1981) / Red Dwarf Series 3 - 6	Brothers Grimm Fairy Tales: Poseidon God of Water - 20, Story Time	0.212121	0.577505	0.619755	0.337349	0.213496	1	0	-2.776336
BBC Cutting Edge Comedy Collection: The Office (2001): 1st & 2nd Series / The Office Special / Little Britain: 1st Series / ...	BBC 3	0.039062	0.565972	0.739583	0.074627	0.213496	1	0	-2.865022
BBC Drama Collection: Wives And Daughters / Middlemarch / Jane Eyre / Lost Prince / Daniel Deronda / Barchester Chronicles / ...	Boy's Life: Backstage at 'Peter and the Starcatcher' with Adam Chanler-Berat	0.255814	0.578251	0.620426	0.339806	0.213496	1	0	-2.754969
BBC Earth Collection: Planet Earth (2006) / Earth: The Biography	Battlefield: The Battles That Won the Second World War	0.215385	0.630886	0.667797	0.4	0.213496	1	0	-2.569288
BBC High Definition Natural History Collection (Blu-ray): Planet Earth (2006) / Wild China / Galapagos / Ganges	Boy's Life: Backstage at 'Peter and the Starcatcher' with Adam Chanler-Berat	0.214286	0.573493	0.616144	0.349206	0.213496	1	0	-2.772475
BBC High Definition Natural History Collection 2 (Blu-ray): Life / Nature's Most Amazing Events / Wild Pacific / ...	Bought with Love: The Secret History of British Art Collections	0.239316	0.567308	0.610577	0.364641	0.213496	1	0	-2.760689
BBC History Of World War II (12-Disc): Nazis: A Warning From History / Road To War: Great Britain, Italy, ... / ...	Bistro	0.060345	0.585796	0.627217	0.113821	0.213496	1	0	-2.937512
BBC History Of World War II (12-Disc/ Old Version): Nazis: A Warning From History / Road To War: Great Britain, Italy, ... / ...	Bistro	0.054264	0.584348	0.625914	0.102941	0.213496	1	0	-2.943917
BBC Holiday Collection (4-Disc): Are You Being Served?: Christmas Crackers / Good Neighbors: Silly But It's Fun / ...	BBC 3	0.042373	0.566855	0.740113	0.080645	0.213496	1	0	-2.861742
BBC Holiday Comedy (2-Disc): Are You Being Served?: Christmas Crackers / Good Neighbors: Silly But It's Fun / ...	Brothers Grimm Fairy Tales: Poseidon God of Water - 20, Story Time	0.22807	0.570129	0.613116	0.320442	0.213496	1	0	-2.805496
BBC Holiday Drama (2-Disc): All Creatures Great And Small: Merry Gentlemen / Ballykissangel: Happy As A Turkey On ... / ...	Boy's Life: Backstage at 'Peter and the Starcatcher' with Adam Chanler-Berat	0.217742	0.576854	0.619168	0.308458	0.213496	1	0	-2.805371
